title,date,viewers,network,title_clean,viewers_millions,year
2014 FIFA World Cup,9 July 2014,9058000,NPO 1,2014 fifa world cup,9.058,2014.0
2014 FIFA World Cup,29 June 2014,8738000,NPO 1,2014 fifa world cup,8.738,2014.0
2010 FIFA World Cup,11 July 2010,8513000,Nederland 1,2010 fifa world cup,8.513,2010.0
UEFA Euro 2004,30 June 2004,8512000,Nederland 2,uefa euro 2004,8.512,2004.0
2010 FIFA World Cup,6 July 2010,8501000,NPO 1,2010 fifa world cup,8.501,2010.0
2006 FIFA World Cup,25 June 2006,8252000,Nederland 2,2006 fifa world cup,8.252,2006.0
Press Conference by Prime Minister Mark Rutte on the COVID-19 pandemic,13 October 2020,8179000,"NPO 1, RTL 4",press conference by prime minister mark rutte on the covid-19 pandemic,8.179,2020.0
2014 FIFA World Cup,23 June 2014,8098000,NPO 1,2014 fifa world cup,8.098,2014.0
UEFA Euro 2012,17 June 2012,7993000,Nederland 1,uefa euro 2012,7.993,2012.0
UEFA Euro 2012,13 June 2012,7984000,Nederland 1,uefa euro 2012,7.984,2012.0
Funeral of Pope John Paul II,8 April 2005,"Over 21,400,000","TVP1, TVP2, TVP3, Polsat, TVN, TVN24 and others",funeral of pope john paul ii,21.4,2005.0
UEFA Euro 2016: Poland vs Portugal (quarter-final),30 June 2016,15974822,"TVP1, Polsat, Polsat Sport",uefa euro 2016: poland vs portugal (quarter-final),15.974822,2016.0
UEFA Euro 2012: Poland vs Russia (group stage),12 June 2012,14683216,"TVP1, TVP Sport, TVP HD",uefa euro 2012: poland vs russia (group stage),14.683216,2012.0
UEFA Euro 2016: Germany vs Poland (group stage),16 June 2016,14352012,"TVP1, Polsat, Polsat Sport",uefa euro 2016: germany vs poland (group stage),14.352012,2016.0
UEFA Euro 2012: Czech Republic vs Poland (group stage),16 June 2012,14070492,"TVP1, TVP Sport, TVP HD",uefa euro 2012: czech republic vs poland (group stage),14.070492,2012.0
FIFA World Cup 2018: Poland vs Colombia (group stage),24 June 2018,13631335,"TVP1, TVP Sport",fifa world cup 2018: poland vs colombia (group stage),13.631335,2018.0
UEFA Euro 2012: Poland vs Greece (group stage),8 June 2012,13308343,"TVP1, TVP Sport, TVP HD",uefa euro 2012: poland vs greece (group stage),13.308343,2012.0
